DATE,ATM,Cash
40227,ATM4,967
40228,ATM4,734
40229,ATM4,121
40230,ATM4,288
40231,ATM4,503
40232,ATM4,10
40233,ATM4,258
40234,ATM4,1170
40235,ATM4,193
40236,ATM4,403
40237,ATM4,1276
40238,ATM4,820
40239,ATM4,26
40240,ATM4,894
40241,ATM4,361
40242,ATM4,860
40243,ATM4,381
40244,ATM4,10
40245,ATM4,601
40246,ATM4,32
40247,ATM4,553
40248,ATM4,572
40249,ATM4,219
40250,ATM4,828
40251,ATM4,631
40252,ATM4,339
40253,ATM4,32
40254,ATM4,487
40255,ATM4,335
40256,ATM4,340
40257,ATM4,291
40258,ATM4,46
40259,ATM4,201
40260,ATM4,10
40261,ATM4,878
40262,ATM4,778
40263,ATM4,708
40264,ATM4,351
40265,ATM4,711
40266,ATM4,503
40267,ATM4,23
40268,ATM4,493
40269,ATM4,405
40270,ATM4,818
40271,ATM4,152
40272,ATM4,281
40273,ATM4,470
40274,ATM4,3
40275,ATM4,415
40276,ATM4,719
40277,ATM4,812
40278,ATM4,890
40279,ATM4,616
40280,ATM4,61
40281,ATM4,27
40282,ATM4,768
40283,ATM4,326
40284,ATM4,825
40285,ATM4,384
40286,ATM4,195
40287,ATM4,711
40288,ATM4,30
40289,ATM4,557
40290,ATM4,386
40291,ATM4,165
40292,ATM4,5
40293,ATM4,542
40294,ATM4,404
40295,ATM4,14
40296,ATM4,348
40297,ATM4,44
40298,ATM4,482
